URL,NOMBRE,TITULO,AÑO MODIFICAION
[https://en.wikipedia.org/wiki/"Virgin_Ground","Virgin_Ground",Virgin Ground,2018]
[https://en.wikipedia.org/wiki/"Virginia_iris","Virginia_iris",Iris virginica,2018]
[]
[https://en.wikipedia.org/wiki/"Vladimir_Portnoy","Vladimir_Portnoy",Vladimir Portnoy,2019]
[https://en.wikipedia.org/wiki/"Vladivostok_Air","Vladivostok_Air",Vladivostok Air,2019]
[https://en.wikipedia.org/wiki/"Volcanic"_Brown,"Volcanic"_Brown,Robert Allan Brown,2017]
[https://en.wikipedia.org/wiki/!,!,Exclamation mark,2019]
[https://en.wikipedia.org/wiki/!!,!!,!!,2019]
[https://en.wikipedia.org/wiki/!!!,!!!,!!!,2019]
[https://en.wikipedia.org/wiki/!!!Fuck_You!!!,!!!Fuck_You!!!,Fuck You (EP),2019]
[https://en.wikipedia.org/wiki/!!!Fuck_You!!!_And_Then_Some,!!!Fuck_You!!!_And_Then_Some,Fuck You and Then Some,2019]
[https://en.wikipedia.org/wiki/!!!Fuck_You!!!_and_Then_Some,!!!Fuck_You!!!_and_Then_Some,Fuck You and Then Some,2019]
[https://en.wikipedia.org/wiki/!!!_(Chk_Chk_Chk),!!!_(Chk_Chk_Chk),!!!,2019]
[https://en.wikipedia.org/wiki/!!!_(album),!!!_(album),!!! (album),2019]
[https://en.wikipedia.org/wiki/!!!_(band),!!!_(band),!!!,2019]
[https://en.wikipedia.org/wiki/!!!_(disambiguation),!!!_(disambiguation),!!! (disambiguation),2019]
[https://en.wikipedia.org/wiki/!!Destroy-Oh-Boy!!,!!Destroy-Oh-Boy!!,Destroy-Oh-Boy!,2019]
[https://en.wikipedia.org/wiki/!!Fuck_you!!,!!Fuck_you!!,Fuck You (EP),2019]
[https://en.wikipedia.org/wiki/!!Going_Places!!,!!Going_Places!!,Going Places (Herb Alpert and the Tijuana Brass album),2019]
[https://en.wikipedia.org/wiki/!!Que_Corra_La_Voz!!,!!Que_Corra_La_Voz!!,¡¡Que Corra La Voz‼,2017]
[https://en.wikipedia.org/wiki/!!_(chess),!!_(chess),Chess annotation symbols,2019]
[https://en.wikipedia.org/wiki/!!_(disambiguation),!!_(disambiguation),!!,2019]
[https://en.wikipedia.org/wiki/!'O!Kung,!'O!Kung,Sekele language,2019]
[https://en.wikipedia.org/wiki/!'O!Kung_language,!'O!Kung_language,Sekele language,2019]
[https://en.wikipedia.org/wiki/!'O-!khung_language,!'O-!khung_language,Sekele language,2019]
[https://en.wikipedia.org/wiki/!337$P34K,!337$P34K,Leet,2019]
[https://en.wikipedia.org/wiki/!=,!=,Relational operator,2019]
[https://en.wikipedia.org/wiki/!A_Luchar!,!A_Luchar!,¡A Luchar!,2018]
[https://en.wikipedia.org/wiki/!Action_Pact!,!Action_Pact!,!Action Pact!,2019]
[https://en.wikipedia.org/wiki/!Action_pact!,!Action_pact!,!Action Pact!,2019]
[https://en.wikipedia.org/wiki/!Adios_Amigos!,!Adios_Amigos!,¡Adios Amigos!,2019]
[https://en.wikipedia.org/wiki/!Alabadle!,!Alabadle!,Marcos Witt,2019]
[https://en.wikipedia.org/wiki/!Alarma!,!Alarma!,¡Alarma!,2016]
[https://en.wikipedia.org/wiki/!Alarma!_(album),!Alarma!_(album),¡Alarma! (album),2019]
[https://en.wikipedia.org/wiki/!Alarma!_(disambiguation),!Alarma!_(disambiguation),¡Alarma!,2016]
[https://en.wikipedia.org/wiki/!Alarma!_(magazine),!Alarma!_(magazine),¡Alarma! (magazine),2016]
[https://en.wikipedia.org/wiki/!Alarma!_Records,!Alarma!_Records,Alarma Records,2018]
[https://en.wikipedia.org/wiki/!Alarma!_magazine,!Alarma!_magazine,¡Alarma! (magazine),2016]
[https://en.wikipedia.org/wiki/!Alfaro_Vive,_Carajo!,!Alfaro_Vive,_Carajo!,¡Alfaro Vive, Carajo!,2019]
[https://en.wikipedia.org/wiki/!All-Time_Quarterback!,!All-Time_Quarterback!,¡All-Time Quarterback!,2017]
[https://en.wikipedia.org/wiki/!All-Time_Quarterback!_(EP),!All-Time_Quarterback!_(EP),¡All-Time Quarterback! (EP),2019]
[https://en.wikipedia.org/wiki/!All-Time_Quarterback!_(album),!All-Time_Quarterback!_(album),¡All-Time Quarterback! (album),2018]
[https://en.wikipedia.org/wiki/!Alla_tu!,!Alla_tu!,¡Allá tú!,2019]
[https://en.wikipedia.org/wiki/!Amigos!,!Amigos!,Arrested Development (season 2),2019]
[https://en.wikipedia.org/wiki/!Amigos!_(Arrested_Development_episode),!Amigos!_(Arrested_Development_episode),Arrested Development (season 2),2019]
[https://en.wikipedia.org/wiki/!Arriba!,!Arriba!,!Arriba! La Pachanga,2019]
[https://en.wikipedia.org/wiki/!Arriba!_La_Pachanga,!Arriba!_La_Pachanga,!Arriba! La Pachanga,2019]
[https://en.wikipedia.org/wiki/!Ask_a_Mexican!,!Ask_a_Mexican!,Ask a Mexican,2019]
[https://en.wikipedia.org/wiki/!Atame!,!Atame!,Tie Me Up! Tie Me Down!,2019]
[https://en.wikipedia.org/wiki/!Ay,_Carmela!_(film),!Ay,_Carmela!_(film),¡Ay Carmela!,2019]
[https://en.wikipedia.org/wiki/!Ay,_caramba!,!Ay,_caramba!,¡Ay, caramba!,2019]
[https://en.wikipedia.org/wiki/!BANG!,!BANG!,Funking Conservatory,2019]
[https://en.wikipedia.org/wiki/!Bang,!Bang,DuckDuckGo,2019]
[https://en.wikipedia.org/wiki/!Bang!,!Bang!,Funking Conservatory,2019]
[https://en.wikipedia.org/wiki/!Bang!_TV,!Bang!_TV,Funking Conservatory,2019]
[https://en.wikipedia.org/wiki/!Basta_Ya!,!Basta_Ya!,¡Basta Ya!,2019]
[https://en.wikipedia.org/wiki/!Bastardos!,!Bastardos!,¡Bastardos!,2019]
[https://en.wikipedia.org/wiki/!Bastardos!_(album),!Bastardos!_(album),¡Bastardos!,2019]
[https://en.wikipedia.org/wiki/!Bastardos_en_Vivo!,!Bastardos_en_Vivo!,¡Bastardos en Vivo!,2019]
[https://en.wikipedia.org/wiki/!Bienvenido,_Mr._Marshall!,!Bienvenido,_Mr._Marshall!,Welcome Mr. Marshall!,2019]
[https://en.wikipedia.org/wiki/!Ciauetistico!,!Ciauetistico!,¡Ciaütistico!,2019]
[https://en.wikipedia.org/wiki/!Ciautistico!,!Ciautistico!,¡Ciaütistico!,2019]
[https://en.wikipedia.org/wiki/!DOCTYPE,!DOCTYPE,Document type declaration,2019]
[https://en.wikipedia.org/wiki/!Dame!_!Dame!_!Dame!,!Dame!_!Dame!_!Dame!,Gimme! Gimme! Gimme! (A Man After Midnight),2019]
[https://en.wikipedia.org/wiki/!Decapitacion!,!Decapitacion!,¡Decapitacion!,2017]
[https://en.wikipedia.org/wiki/!Dos!,!Dos!,¡Dos!,2019]
[https://en.wikipedia.org/wiki/!Explora!_Science_Center_and_Children's_Museum,!Explora!_Science_Center_and_Children's_Museum,Explora (Albuquerque, New Mexico),2019]
[https://en.wikipedia.org/wiki/!F,!F,Idea Factory,2019]
[https://en.wikipedia.org/wiki/!Forward,_Russia!,!Forward,_Russia!,¡Forward, Russia!,2019]
[https://en.wikipedia.org/wiki/!Forward_Russia!,!Forward_Russia!,¡Forward, Russia!,2019]
[https://en.wikipedia.org/wiki/!Ga!ne_language,!Ga!ne_language,ǃGãǃne language,2016]
[https://en.wikipedia.org/wiki/!Ga!nge_language,!Ga!nge_language,ǃGãǃne language,2016]
[https://en.wikipedia.org/wiki/!Gã!ne,!Gã!ne,ǃGãǃne language,2016]
[https://en.wikipedia.org/wiki/!Gã!ne_language,!Gã!ne_language,ǃGãǃne language,2016]
[https://en.wikipedia.org/wiki/!Gã!nge,!Gã!nge,ǃGãǃne language,2016]
[https://en.wikipedia.org/wiki/!Gã!nge_language,!Gã!nge_language,ǃGãǃne language,2016]
[https://en.wikipedia.org/wiki/!HERO,!HERO,!Hero,2019]
[https://en.wikipedia.org/wiki/!Happy_Birthday_Guadaloupe!,!Happy_Birthday_Guadaloupe!,¡Happy Birthday Guadalupe!,2019]
[https://en.wikipedia.org/wiki/!Happy_Birthday_Guadalupe!,!Happy_Birthday_Guadalupe!,¡Happy Birthday Guadalupe!,2019]
[https://en.wikipedia.org/wiki/!Hello_Friends!,!Hello_Friends!,¡Hello Friends!,2017]
[https://en.wikipedia.org/wiki/!Hero,!Hero,!Hero,2019]
[https://en.wikipedia.org/wiki/!Hero_(album),!Hero_(album),!Hero (album),2019]
[https://en.wikipedia.org/wiki/!Hola!,!Hola!,¡Hola!,2019]
[https://en.wikipedia.org/wiki/!Hola,_Mexico!,!Hola,_Mexico!,List of Barney & Friends episodes and videos,2019]
[https://en.wikipedia.org/wiki/!Hu_language,!Hu_language,!Kung languages,2019]
[https://en.wikipedia.org/wiki/!Hukwe_language,!Hukwe_language,Khwe language,2019]
[https://en.wikipedia.org/wiki/!K7,!K7,Studio !K7,2019]
[https://en.wikipedia.org/wiki/!K7_Records,!K7_Records,Studio !K7,2019]
[https://en.wikipedia.org/wiki/!Karas_Region,!Karas_Region,ǁKaras Region,2019]
[https://en.wikipedia.org/wiki/!Kheis_Local_Municipality,!Kheis_Local_Municipality,ǃKheis Local Municipality,2019]
[https://en.wikipedia.org/wiki/!Khuai_language,!Khuai_language,Spurious languages,2019]
[https://en.wikipedia.org/wiki/!Khung_language,!Khung_language,!Kung languages,2019]
[https://en.wikipedia.org/wiki/!Kora,!Kora,Khoemana,2019]
[https://en.wikipedia.org/wiki/!Kora_language,!Kora_language,Khoemana,2019]
[https://en.wikipedia.org/wiki/!Ku_language,!Ku_language,!Kung languages,2019]
[https://en.wikipedia.org/wiki/!Kung,!Kung,ǃKung people,2019]
[https://en.wikipedia.org/wiki/!Kung-Ekoka,!Kung-Ekoka,Ekoka !Kung,2019]
[https://en.wikipedia.org/wiki/!Kung_San,!Kung_San,ǃKung people,2019]
[https://en.wikipedia.org/wiki/!Kung_San_people,!Kung_San_people,ǃKung people,2019]
[https://en.wikipedia.org/wiki/!Kung_language,!Kung_language,!Kung languages,2019]
[https://en.wikipedia.org/wiki/!Kung_mythology,!Kung_mythology,ǃKung people,2019]
[https://en.wikipedia.org/wiki/!Kung_people,!Kung_people,ǃKung people,2019]
[https://en.wikipedia.org/wiki/!Kwi,!Kwi,Tuu languages,2019]
[https://en.wikipedia.org/wiki/!Kwi_language,!Kwi_language,Tuu languages,2019]
